Street Address,Locality,Region,Postal Code,Country,Latitude,Longitude,Rent,Price Currency,Description,Property Type,# Beds,# Baths,Square Footage,URL
552 Prospect Place #1C,Brooklyn,NY,11238,USA,40.675407,-73.95821,6995,USD,"Condo, 2 Beds, 2 Baths, 1,000 Sq Ft",Condo,2,2,1000,https://www.citysnap.com/NY/Brooklyn/552-Prospect-Place/property/16911789
65 N 6th Street #4A,Brooklyn,NY,11249,USA,40.719306,-73.961193,6785,USD,"Condo, 2 Beds, 2 Baths",Condo,2,2,0,https://www.citysnap.com/NY/Brooklyn/65-N-6th-Street/property/16572676
184 Kent Avenue #B-512,Brooklyn,NY,11249,USA,40.718763,-73.964599,8895,USD,"Condo, 2 Beds, 2 Baths, 1,101 Sq Ft",Condo,2,2,1101,https://www.citysnap.com/NY/Brooklyn/184-Kent-Avenue/property/16471614
196 Willoughby Street #28-U,Brooklyn,NY,11201,USA,40.691831,-73.980125,7195,USD,"Condo, 2 Beds, 2 Baths, 1,027 Sq Ft",Condo,2,2,1027,https://www.citysnap.com/NY/Brooklyn/196-Willoughby-Street/property/33940627
2286 Cropsey Avenue #16-G,Brooklyn,NY,11214,USA,40.595459,-73.996842,3800,USD,"Condo, 2 Beds, 2 Baths, 770 Sq Ft",Condo,2,2,770,https://www.citysnap.com/NY/Brooklyn/2286-Cropsey-Avenue/property/33934032
167 Russell Street #3L,Brooklyn,NY,11222,USA,40.726306,-73.944899,3995,USD,"Condo, 2 Beds, 2 Baths",Condo,2,2,0,https://www.citysnap.com/NY/Brooklyn/167-Russell-Street/property/16503626
492 Henry Street #3K,Brooklyn,NY,11231,USA,40.684478,-73.999338,5000,USD,"Condo, 2 Beds, 2 Baths",Condo,2,2,0,https://www.citysnap.com/NY/Brooklyn/492-Henry-Street/property/400029603760
249 Willoughby Ave #11 J,Clinton Hill,NY,11205,USA,40.69755,-73.96243,5495,USD,"Condo, 2 Beds, 2 Baths",Condo,2,2,0,https://www.citysnap.com/NY/Clinton-Hill/249-Willoughby-Avenue/property/29020064
825 Ocean Parkway #6K,Brooklyn,NY,11230,USA,40.628432,-73.970411,3195,USD,"Co-op, 2 Beds, 2 Baths, 0.77 Acres",Co-op,2,2,0,https://www.citysnap.com/NY/Brooklyn/825-Ocean-Parkway/property/16438642
21 Adelphi Street #1-L,Brooklyn,NY,11205,USA,40.697202,-73.972419,4200,USD,"Condo, 2 Beds, 2Â½ Baths",Condo,2,2.5,0,https://www.citysnap.com/NY/Brooklyn/21-Adelphi-Street/property/16430384
21 Adelphi Street #1R,Brooklyn,NY,11205,USA,40.697202,-73.972419,4200,USD,"Condo, 2 Beds, 2Â½ Baths",Condo,2,2.5,0,https://www.citysnap.com/NY/Brooklyn/21-Adelphi-Street/property/16447687
239 Carlton Avenue #1,Brooklyn,NY,11205,USA,40.69057,-73.97201,10000,USD,"Condo, 2 Beds, 2Â½ Baths, 2,720 Sq Ft",Condo,2,2.5,2720,https://www.citysnap.com/NY/Brooklyn/239-Carlton-Avenue/property/16856941
