,Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Borough,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Probability,URL
20,5/5/2024,141 Hart Street,/1'2,1350,2624,0.5,Studio,2.0,,,,11206,$,Brooklyn,Bedford-Stuyvesant,,,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,,0.99256445,
21,5/5/2024,141 Hart Street,1-Jan,1350,2624,0.5,Studio,2.0,,,,11206,$,Brooklyn,Bedford-Stuyvesant,,,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,,0.99256445,
22,5/5/2024,141 Hart Street,5-Jan,1350,2624,0.5,Studio,2.0,,,,11206,$,Brooklyn,Bedford-Stuyvesant,,,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,,0.99256445,
23,5/5/2024,141 Hart Street,1-Feb,1350,2624,0.5,Studio,2.5,,,,11206,$,Brooklyn,Bedford-Stuyvesant,,,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,,0.979986885,
24,5/5/2024,102 Jefferson Street,3-Jan,1400,2624,0.5,Studio,1.5,,,,11206,$$,Brooklyn,Bushwick,,,Aya Co Living,3.0,2,2008.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.997151456,
25,5/5/2024,102 Jefferson Street,3-Feb,1300,2624,0.5,Studio,2.0,,,,11206,$$,Brooklyn,Bushwick,,,Aya Co Living,3.0,2,2008.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.992845349,
26,5/5/2024,102 Jefferson Street,2-Jan,1400,2624,0.5,Studio,1.5,,,,11206,$$,Brooklyn,Bushwick,,,Aya Co Living,3.0,2,2008.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.997151456,
27,5/5/2024,102 Jefferson Street,2-Feb,1350,2624,0.5,Studio,2.0,,,,11206,$$,Brooklyn,Bushwick,,,Aya Co Living,3.0,2,2008.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.99256445,
28,5/5/2024,102 Jefferson Street,2/,1300,2624,0.5,Studio,2.0,,,,11206,$$,Brooklyn,Bushwick,,,Aya Co Living,3.0,2,2008.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.992845349,
29,5/5/2024,102 Jefferson Street,4-Jan,1450,2624,0.6,Studio,1.5,,,,11206,$$,Brooklyn,Bushwick,,,Aya Co Living,3.0,2,2008.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.996130204,
30,5/5/2024,120 Mulberry Street,1-Feb,2350,2624,0.9,Studio,1.0,,,,10013,$$,Manhattan,Little Italy,Lower East Side,Lower Manhattan,Aya Co Living,5.0,8,1910.0,Yes,Laundry in Building,Management Company,,Walk up,,,,,,,,,,,0.993627662,
31,5/5/2024,120 Mulberry Street,2-Feb,2300,2624,0.9,Studio,1.0,,,,10013,$$,Manhattan,Little Italy,Lower East Side,Lower Manhattan,Aya Co Living,5.0,8,1910.0,Yes,Laundry in Building,Management Company,,Walk up,,,,,,,,,,,0.993868643,
32,5/5/2024,120 West 112th Street,3A/2,1600,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,,0.997451121,
33,5/5/2024,120 West 112th Street,4A/2,1550,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,,0.997547868,
34,5/5/2024,120 West 112th Street,3A/1,1500,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,,0.997640951,
35,5/5/2024,120 West 112th Street,3A/3,1600,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,,0.997451121,
36,5/5/2024,141 Hart Street,3-Feb,1350,2624,0.5,Studio,2.5,,,,11206,$,Brooklyn,Bedford-Stuyvesant,,,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,,0.979986885,
37,5/5/2024,141 Hart Street,4-Feb,1400,2624,0.5,Studio,2.5,,,,11206,$,Brooklyn,Bedford-Stuyvesant,,,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,,0.97921172,
38,5/5/2024,141 Hart Street,1,1300,2624,0.5,Studio,2.0,,,,11206,$,Brooklyn,Bedford-Stuyvesant,,,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,,0.992845349,
39,5/5/2024,141 Hart Street,1-Mar,1300,2624,0.5,Studio,2.5,,,,11206,$,Brooklyn,Bedford-Stuyvesant,,,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,,0.980733714,
40,5/5/2024,141 Hart Street,4-Jan,1350,2624,0.5,Studio,2.0,,,,11206,$,Brooklyn,Bedford-Stuyvesant,,,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,,0.99256445,
41,5/5/2024,1433 Dekalb Avenue,8A/2,1800,2624,0.7,Studio,2.0,,,,11237,$$$,Brooklyn,Bushwick,,,Aya Co Living,8.0,25,2013.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,,0.982148107,
42,5/5/2024,1433 Dekalb Avenue,8A/4,1750,2624,0.7,Studio,2.0,,,,11237,$$$,Brooklyn,Bushwick,,,Aya Co Living,8.0,25,2013.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,,0.982815699,
43,5/5/2024,1433 Dekalb Avenue,8A/1,1800,2624,0.7,Studio,2.0,,,,11237,$$$,Brooklyn,Bushwick,,,Aya Co Living,8.0,25,2013.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,,0.982148107,
44,5/5/2024,1433 Dekalb Avenue,8C/4,1800,2624,0.7,Studio,2.0,,,,11237,$$$,Brooklyn,Bushwick,,,Aya Co Living,8.0,25,2013.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,,0.982148107,
45,5/5/2024,1433 Dekalb Avenue,8A/3,1850,2624,0.7,Studio,2.0,,,,11237,$$$,Brooklyn,Bushwick,,,Aya Co Living,8.0,25,2013.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,,0.981455068,
46,5/5/2024,155 Meserole Street,1B/5,1650,2624,0.6,Studio,4.0,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,6.0,12,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,,,,,,,0.594153916,
47,5/5/2024,155 Meserole Street,1B/1,1300,2624,0.5,Studio,4.0,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,6.0,12,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,,,,,,,0.715315064,
48,5/5/2024,155 Meserole Street,1B/7,1300,2624,0.5,Studio,4.0,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,6.0,12,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,,,,,,,0.715315064,
49,5/5/2024,155 Meserole Street,1B/2,1450,2624,0.6,Studio,4.0,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,6.0,12,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,,,,,,,0.630959631,
50,5/5/2024,161 Maujer Street,1B/2,1650,2624,0.6,Studio,2.0,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,4.0,8,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.987783025,
51,5/5/2024,161 Maujer Street,2A/1,1700,2624,0.6,Studio,1.5,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,4.0,8,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.995305751,
52,5/5/2024,161 Maujer Street,2A/3,1650,2624,0.6,Studio,1.5,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,4.0,8,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.995483561,
53,5/5/2024,161 Maujer Street,2A/1,1700,2624,0.6,Studio,1.5,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,4.0,8,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.995305751,
54,5/5/2024,190 East 7th Street,217/3,2400,2624,0.9,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.993215278,
55,5/5/2024,190 East 7th Street,616,2400,2624,0.9,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.993215278,
56,5/5/2024,190 East 7th Street,616/3,2550,2624,1.0,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.990060703,
57,5/5/2024,190 East 7th Street,519/1,2200,2624,0.8,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.995548582,
58,5/5/2024,190 East 7th Street,519/2,2000,2624,0.8,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.996185951,
59,5/5/2024,161 Maujer Street,3B/1,1650,2624,0.6,Studio,2.0,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,4.0,8,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.987783025,
60,5/5/2024,161 Maujer Street,2B/1,1750,2624,0.7,Studio,2.0,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,4.0,8,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.982815699,
61,5/5/2024,161 Maujer Street,2B/3,1650,2624,0.6,Studio,2.0,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,4.0,8,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.987783025,
62,5/5/2024,161 Maujer Street,1B/1,1550,2624,0.6,Studio,2.0,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,4.0,8,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.988684731,
63,5/5/2024,161 Maujer Street,2B/2,1750,2624,0.7,Studio,2.0,,,,11206,$$,Brooklyn,Williamsburg,,,Aya Co Living,4.0,8,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.982815699,
64,5/5/2024,163 Stanton Street,1-Nov,2300,2624,0.9,Studio,1.0,,,,10002,$$$,Manhattan,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,18,1900.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.993499918,
65,5/5/2024,163 Stanton Street,2-Nov,2300,2624,0.9,Studio,1.0,,,,10002,$$$,Manhattan,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,18,1900.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.993499918,
66,5/5/2024,163 Stanton Street,1-Jul,2400,2624,0.9,Studio,1.0,,,,10002,$$$,Manhattan,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,18,1900.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.992979207,
67,5/5/2024,163 Stanton Street,2-Jul,2300,2624,0.9,Studio,1.0,,,,10002,$$$,Manhattan,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,18,1900.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.993499918,
68,5/5/2024,190 East 7th Street,505/2,2500,2624,1.0,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.990435277,
69,5/5/2024,190 East 7th Street,208/3,2400,2624,0.9,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.993215278,
70,5/5/2024,190 East 7th Street,615/1,2600,2624,1.0,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.989671614,
71,5/5/2024,190 East 7th Street,615/3,2450,2624,0.9,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.9929488,
72,5/5/2024,190 East 7th Street,616/2,2500,2624,1.0,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.990435277,
73,5/5/2024,190 East 7th Street,B/1,2350,2624,0.9,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.993471752,
74,5/5/2024,190 East 7th Street,509/2,2500,2624,1.0,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.990435277,
75,5/5/2024,190 East 7th Street,509/1,2400,2624,0.9,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.993215278,
76,5/5/2024,190 East 7th Street,208/2,2500,2624,1.0,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.990435277,
77,5/5/2024,190 East 7th Street,310/1,2500,2624,1.0,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.990435277,
78,5/5/2024,190 East 7th Street,310/2,2450,2624,0.9,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.9929488,
79,5/5/2024,190 East 7th Street,609/2,2500,2624,1.0,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.990435277,
80,5/5/2024,190 East 7th Street,609/3,2600,2624,1.0,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.989671614,
81,5/5/2024,190 East 7th Street,B/3,2300,2624,0.9,Studio,1.0,,,,10009,$$$,Manhattan,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7.0,124,2000.0,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,0.993718592,
