Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Probability
5/5/2024,129 West 116th Street,4B/1,1500.0,2624,0.6,Studio,1.0,nan,nan,nan,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,0.9976409513968135
5/5/2024,129 West 116th Street,5B/1,1450.0,2624,0.6,Studio,1.0,nan,nan,nan,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,0.9977305095993017
5/5/2024,129 West 116th Street,5B/3,1500.0,2624,0.6,Studio,1.0,nan,nan,nan,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,0.9976409513968135
5/5/2024,129 West 116th Street,5B,1450.0,2624,0.6,Studio,1.0,nan,nan,nan,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,0.9977305095993017
5/5/2024,129 West 116th Street,4B/3,1450.0,2624,0.6,Studio,1.0,nan,nan,nan,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,0.9977305095993017
5/5/2024,129 West 116th Street,5B/1,1500.0,2624,0.6,Studio,1.0,nan,nan,nan,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,0.9976409513968135
5/5/2024,129 West 116th Street,5B/2,1400.0,2624,0.5,Studio,1.0,nan,nan,nan,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,0.9983301435329156
5/5/2024,129 West 116th Street,5B/3,1500.0,2624,0.6,Studio,1.0,nan,nan,nan,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,0.9976409513968135
5/5/2024,141 Hart Street,2-Feb,1400.0,2624,0.5,Studio,2.5,nan,nan,nan,11206,$,Bedford-Stuyvesant,nan,nan,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,nan,Roof Deck,Walk up,nan,nan,nan,nan,nan,0.9792117201055518
5/5/2024,141 Hart Street,4-Mar,1400.0,2624,0.5,Studio,2.5,nan,nan,nan,11206,$,Bedford-Stuyvesant,nan,nan,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,nan,Roof Deck,Walk up,nan,nan,nan,nan,nan,0.9792117201055518
5/5/2024,141 Hart Street,/1'2,1350.0,2624,0.5,Studio,2.0,nan,nan,nan,11206,$,Bedford-Stuyvesant,nan,nan,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,nan,Roof Deck,Walk up,nan,nan,nan,nan,nan,0.9925644503932236
5/5/2024,141 Hart Street,1-Jan,1350.0,2624,0.5,Studio,2.0,nan,nan,nan,11206,$,Bedford-Stuyvesant,nan,nan,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,nan,Roof Deck,Walk up,nan,nan,nan,nan,nan,0.9925644503932236
5/5/2024,141 Hart Street,5-Jan,1350.0,2624,0.5,Studio,2.0,nan,nan,nan,11206,$,Bedford-Stuyvesant,nan,nan,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,nan,Roof Deck,Walk up,nan,nan,nan,nan,nan,0.9925644503932236
5/5/2024,141 Hart Street,1-Feb,1350.0,2624,0.5,Studio,2.5,nan,nan,nan,11206,$,Bedford-Stuyvesant,nan,nan,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,nan,Roof Deck,Walk up,nan,nan,nan,nan,nan,0.9799868849104841
5/5/2024,102 Jefferson Street,3-Jan,1400.0,2624,0.5,Studio,1.5,nan,nan,nan,11206,$$,Bushwick,nan,nan,Aya Co Living,3.0,2,2008.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,0.9971514559508572
