Neighborhood,Postal Code,Rent,# Beds,# Baths,Payment Standard (PS),Ratio
Brooklyn,11217,7400,3,0,3777,2
Manhattan,10013,18500,3,0,3777,4.9
Brooklyn,11231,7500,3,0,3777,2
Brooklyn,11201,9800,3,2,3777,2.6
Brooklyn,11238,4000,3,1,3777,1.1
Brooklyn,11238,11250,3,3,3777,3
Manhattan,10002,9980,3,2,3777,2.6
Brooklyn,11201,7500,3,1,3777,2
Brooklyn,11238,3200,3,1,3777,0.8
Manhattan,10038,11500,3,0,3777,3
Brooklyn,11231,10000,3,2,3777,2.6
Manhattan,10002,4200,3,1,3777,1.1
Brooklyn,11201,7443,3,2,3777,2
Brooklyn,11238,5400,3,2,3777,1.4
Fort Greene,11205,7800,Studio,1,2624,3
Brooklyn,11238,7300,Studio,0,2624,2.8
Brooklyn,11238,2950,Studio,1,2624,1.1
Manhattan,11201,2080,Studio,1,2624,0.8
Brooklyn,11217,2500,Studio,1,2624,1
Manhattan,10038,3800,Studio,1,2624,1.4
Manhattan,10005,4000,Studio,1,2624,1.5
Manhattan,11231,2895,Studio,1,2624,1.1
Manhattan,10013,4600,Studio,1,2624,1.8
Brooklyn,11201,5016,Studio,1,2624,1.9
Manhattan,11249,3508,Studio,1,2624,1.3
Manhattan,11249,3427,Studio,1,2624,1.3
Brooklyn,11201,4236,Studio,1,2624,1.6
Brooklyn,11205,2890,Studio,1,2624,1.1
Manhattan,11249,3832,Studio,1,2624,1.5
Manhattan,11215,2600,Studio,1,2624,1
Manhattan,10004,3000,Studio,1,2624,1.1
Manhattan,10004,3500,Studio,1,2624,1.3
Manhattan,10280,4500,Studio,1,2624,1.7
Brooklyn,11205,3400,Studio,1,2624,1.3
Brooklyn,11217,2750,Studio,1,2624,1
Brooklyn,11205,3050,Studio,1,2624,1.2
Manhattan,10003,2795,Studio,1,2624,1.1
Manhattan,10004,3500,Studio,1,2624,1.3
Manhattan,10007,5031,Studio,1,2624,1.9
Brooklyn,11201,4761,Studio,1,2624,1.8
Brooklyn,11201,3402,Studio,1,2624,1.3
Brooklyn,11201,3474,Studio,1,2624,1.3
Brooklyn,11201,3541,Studio,1,2624,1.3
Manhattan,10280,4200,Studio,1,2624,1.6
Manhattan,10005,4100,Studio,1,2624,1.6
Brooklyn,11205,3200,Studio,1,2624,1.2
Brooklyn,11205,2825,Studio,1,2624,1.1
Manhattan,10004,4200,Studio,1,2624,1.6
Manhattan,10280,4000,Studio,1,2624,1.5
Manhattan,10005,4500,Studio,1,2624,1.7
Brooklyn,11201,2200,Studio,1,2624,0.8
Manhattan,10005,3800,Studio,1,2624,1.4
Brooklyn,11201,3995,Studio,1,2624,1.5
Manhattan,11238,3400,Studio,1,2624,1.3
Manhattan,10005,4500,Studio,1,2624,1.7
Brooklyn,11201,4205,Studio,1,2624,1.6
Brooklyn,11238,2271,Studio,1,2624,0.9
Brooklyn,11201,3750,Studio,1,2624,1.4
Manhattan,11201,2750,Studio,1,2624,1
