"Date active","Building address","Unit","Rent","Bed","Bath","Months Free","Owner Paid","Rent Stabilized","Zip Code","Building Price Range","Neighborhood","Parent Neighborhood","Neighborhood3","Property Manager","Number of Floors","Number of Units","Year Built","Active","Amenities"
"2024-03-31","500 West 23rd Street","03K","5824","1","1.0","","","","10011","$$$$","Chelsea","Midtown","Midtown","Equity Residential","13","106","2007","Yes","Available Short Term","Doorman","Elevator(2)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","Roof Deck","","","","",""
"2024-03-31","500 West 23rd Street","07E","5928","1","1.0","","","","10011","$$$$","Chelsea","Midtown","Midtown","Equity Residential","13","106","2007","Yes","Available Short Term","Doorman","Elevator(2)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","Roof Deck","","","","",""
"2024-03-31","500 West 23rd Street","03H","7862","2","2.0","","","","10011","$$$$","Chelsea","Midtown","Midtown","Equity Residential","13","106","2007","Yes","Available Short Term","Doorman","Elevator(2)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","Roof Deck","","","","",""
"2024-03-31","777 Sixth Avenue","31A","4731","0","1.0","","","","10001","$$$$","Chelsea","Midtown","Midtown","Equity Residential","32","293","2000","Yes","Available Short Term","Doorman","Elevator(3)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","","","","","",""
"2024-03-31","777 Sixth Avenue","4F","5148","1","1.0","","","","10001","$$$$","Chelsea","Midtown","Midtown","Equity Residential","32","293","2000","Yes","Available Short Term","Doorman","Elevator(3)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","","","","","",""
"2024-03-31","777 Sixth Avenue","6F","5252","1","1.0","","","","10001","$$$$","Chelsea","Midtown","Midtown","Equity Residential","32","293","2000","Yes","Available Short Term","Doorman","Elevator(3)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","","","","","",""
"2024-03-31","777 Sixth Avenue","26D","5329","1","1.0","","","","10001","$$$$","Chelsea","Midtown","Midtown","Equity Residential","32","293","2000","Yes","Available Short Term","Doorman","Elevator(3)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","","","","","",""
"2024-03-31","777 Sixth Avenue","19H","5639","1","1.0","","","","10001","$$$$","Chelsea","Midtown","Midtown","Equity Residential","32","293","2000","Yes","Available Short Term","Doorman","Elevator(3)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","","","","","",""
"2024-03-31","777 Sixth Avenue","20G","5651","1","1.0","","","","10001","$$$$","Chelsea","Midtown","Midtown","Equity Residential","32","293","2000","Yes","Available Short Term","Doorman","Elevator(3)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","","","","","",""
"2024-06-07","211 North End Avenue","11L","9300","2","2.0","","","","10282","$$$$","Battery Park City","","Lower Manhattan","Albanese Organization","24","250","2005","Yes","Courtyard","Doorman","Elevator(3)","Gym","Laundry in Building","Live in super","Management Company","","Parking / Garage","Cats Allowed","Dogs Allowed","Roof Deck","","","",""
